gene_symbol	query_name	mpi
SpQv	3KN2	1.5173252993178035
9C86	3KN2	0.938388699344686
cIkA	3KN2	1.3985919587836737
y1Ct	3KN2	-1.0980475758475563
5URg	3KN2	1.155914150825472
02fD	3KN2	0.87756583269435
roA4	3KN2	0.5966053090672532
bUhm	3KN2	-1.186501336192367
Kb5V	3KN2	1.693789172647313
UcgU	3KN2	0.6689019137661106
1eIZ	3KN2	-2.156407308255343
ho5m	3KN2	-1.445419510118075
pTbc	3KN2	-0.3900093095787737
003j	3KN2	-1.1935229296174914
zeOI	3KN2	0.8918065308171436
WG3x	3KN2	-2.2708620045549677
9WGi	3KN2	0.8751545978406625
cmF8	3KN2	1.8652779205564793
rqri	3KN2	0.30838652755861307
TNT4	3KN2	2.5828700510366884
Tofr	3KN2	2.144508809394413
5arJ	3KN2	1.5193914761810472
BDTj	3KN2	2.26597604403596
p1My	3KN2	0.9400374164910944
SmcG	3KN2	2.598244410862448
jJ2J	3KN2	1.7916721735409236
PRY4	3KN2	0.42109581343809366
KMTI	3KN2	0.996862140485021
MBhj	3KN2	1.2451866673696783
6J6k	3KN2	-0.4594728658514515
dwaa	3KN2	-0.6123512832967498
KWQg	3KN2	-2.4290495685648716
TD4b	3KN2	-0.03999441904063994
PgSt	3KN2	-0.4109717680675538
vqIu	3KN2	0.5517776131891817
ng3t	3KN2	0.8118618427753843
h99C	3KN2	0.09031715920721693
rrYb	3KN2	-0.5436646248755682
aGmd	3KN2	1.8404284358250065
bgF6	3KN2	-0.9253155876570112
f0Pt	3KN2	1.4255879551637851
wjQm	4Sa4	-2.3654571593633653
rmzQ	4Sa4	2.552468528814578
x8rj	4Sa4	-5.126921469327185
JgMH	4Sa4	-1.1043799009002693
5iRk	4Sa4	0.32857269662243827
PExd	4Sa4	1.0088789879922446
j7Vg	4Sa4	-0.7461111555514404
q4gE	4Sa4	-1.322709190224214
McUH	4Sa4	-0.5763809570998527
vBxA	4Sa4	0.025506733270736826
ikBP	4Sa4	2.092399711772284
MGdy	4Sa4	-0.5249059029054635
HPbz	4Sa4	-0.14977147347912284
Euun	4Sa4	0.5790642707387531
RGyC	4Sa4	-1.4224278626083657
tjTq	4Sa4	-2.5054409027505566
suFQ	4Sa4	-0.6735470359067991
NH5j	4Sa4	1.2178043108915717
1SrW	4Sa4	-2.6057539782981047
vHIu	4Sa4	-1.7901154239995598
SpQv	4Sa4	-1.1960517101832762
9C86	4Sa4	3.009154400847455
cIkA	4Sa4	-3.156108685921643
y1Ct	4Sa4	-0.1887692599494578
5URg	4Sa4	4.670645494273738
02fD	4Sa4	-0.6556179387041349
roA4	4Sa4	-1.3579073310725975
bUhm	4Sa4	0.4054103743088952
Kb5V	4Sa4	-5.662514065333459
UcgU	4Sa4	-2.6372266933615016
1eIZ	4Sa4	0.46025897409291594
ho5m	4Sa4	NA
pTbc	4Sa4	0.12658497626226328
003j	4Sa4	-0.7438519324982479
zeOI	4Sa4	-5.01034868961901
WG3x	4Sa4	-3.278657105394527
9WGi	4Sa4	0.5034422189655063
cmF8	4Sa4	2.074969686274561
rqri	4Sa4	0.29673125849973275
TNT4	4Sa4	4.714563596916574
Tofr	4Sa4	3.2470100712825256
5arJ	4Sa4	3.025898208920086
BDTj	4Sa4	2.7529561606604105
p1My	4Sa4	3.742184618316964
SmcG	4Sa4	2.1037246892568766
jJ2J	4Sa4	3.9206775629438915
PRY4	4Sa4	0.16329607851016578
KMTI	4Sa4	-1.03987577207493
MBhj	4Sa4	0.0149053183112226
6J6k	4Sa4	0.6907830078776516
dwaa	4Sa4	-0.34719692762816284
KWQg	4Sa4	2.8026469000384786
TD4b	4Sa4	-0.30389736323670574
PgSt	4Sa4	-2.809562525081346
vqIu	4Sa4	-2.196759503843516
ng3t	4Sa4	-1.7353326492686756
h99C	4Sa4	-0.7555623214578225
rrYb	4Sa4	-2.4571362405544246
aGmd	4Sa4	-0.788573198948742
bgF6	4Sa4	1.05789436038989
f0Pt	4Sa4	-3.215204671516293
wjQm	5FpO	-0.6093670818434016
rmzQ	5FpO	-0.38950518266281503
x8rj	5FpO	0.3497386790988691
JgMH	5FpO	-0.5800322628811508
5iRk	5FpO	0.10621818835584854
PExd	5FpO	1.3045404220113612
j7Vg	5FpO	-0.07531653313368468
q4gE	5FpO	2.052343392490429
McUH	5FpO	-0.3831967806377529
vBxA	5FpO	-0.11461640572964353
ikBP	5FpO	1.0202652997301123
MGdy	5FpO	0.35246115921035703
HPbz	5FpO	-0.40840936841127284
Euun	5FpO	4.944856054498756
RGyC	5FpO	-2.458802450670503
tjTq	5FpO	-2.123932045613551
suFQ	5FpO	-0.27701025542084573
NH5j	5FpO	-1.2658219924609362
1SrW	5FpO	-4.1855696058749405
vHIu	5FpO	-2.6855821518454768
SpQv	5FpO	-6.592372537789942
9C86	5FpO	-1.2162782790879914
cIkA	5FpO	1.9174693063179804
y1Ct	5FpO	0.11559757675962866
5URg	5FpO	2.4424721750733327
02fD	5FpO	3.3035041940881076
roA4	5FpO	-0.6804673411382506
bUhm	5FpO	0.2457433693427713
Kb5V	5FpO	0.3337566972773871
UcgU	5FpO	2.8201227895989756
1eIZ	5FpO	-0.10402960984089764
ho5m	5FpO	-0.45648108768517043
pTbc	5FpO	0.4258957223088537
003j	5FpO	3.1378245901496413
zeOI	5FpO	0.09979771154280125
WG3x	5FpO	-2.127103244278696
9WGi	5FpO	-3.1452713582051426
cmF8	5FpO	4.051552241600577
rqri	5FpO	1.6086127686368685
